Date,SPY,AAPL,GOOGL,NVDA
2020-01-02,301.1948547363281,72.7960205078125,68.18682098388672,5.972709655761719
2020-01-03,298.9141845703125,72.08829498291016,67.8301010131836,5.877111434936523
2020-01-06,300.0546569824219,72.66271209716797,69.63805389404297,5.901757717132568
2020-01-07,299.2109375,72.32098388671875,69.50354766845703,5.973208427429199
2020-01-08,300.8055114746094,73.4843521118164,69.99825286865234,5.984411716461182
2020-01-09,302.8451232910156,75.04521942138672,70.73309326171875,6.050136566162109
2020-01-10,301.97369384765625,75.21487426757812,71.18992614746094,6.082500457763672
2020-01-13,304.050537109375,76.82178497314453,71.7414321899414,6.273200988769531
2020-01-14,303.58697509765625,75.78443908691406,71.2711410522461,6.156191349029541
2020-01-15,304.2729187011719,75.45967102050781,71.70008087158203,6.113620281219482
2020-01-16,306.80401611328125,76.40491485595703,72.24610137939453,6.197268962860107
2020-01-17,307.7589416503906,77.25080108642578,73.70879364013672,6.205982685089111
2020-01-21,307.1562805175781,76.72728729248047,73.84481811523438,6.1726226806640625
2020-01-22,307.193359375,77.00115966796875,73.92550659179688,6.226644992828369
2020-01-23,307.5457458496094,77.37200164794922,73.96636199951172,6.295108795166016
2020-01-24,304.8106689453125,77.14900207519531,73.04370880126953,6.235856533050537
2020-01-27,299.9247741699219,74.88041687011719,71.32793426513672,5.979931354522705
2020-01-28,303.06768798828125,76.99872589111328,72.2630386352539,6.17336893081665
2020-01-29,302.8174133300781,78.6104736328125,72.57191467285156,6.11287260055542
2020-01-30,303.8000793457031,78.49657440185547,72.44986724853516,6.119595527648926
2020-01-31,298.28375244140625,75.01612854003906,71.38024139404297,5.886073589324951
2020-02-03,300.4995422363281,74.81011199951172,73.86224365234375,5.983166694641113
2020-02-04,305.0795593261719,77.27986907958984,72.00946044921875,6.152456283569336
2020-02-05,308.6026611328125,77.9100341796875,72.04134368896484,6.242828845977783
2020-02-06,309.6410217285156,78.82135772705078,73.53194427490234,6.329713821411133
2020-02-07,307.99078369140625,77.74994659423828,73.68836975097656,6.263493061065674
2020-02-10,310.2900085449219,78.11923217773438,75.1605453491211,6.546805381774902
2020-02-11,310.8277893066406,77.64791870117188,75.23027801513672,6.669290065765381
2020-02-12,312.830322265625,79.49188232421875,75.65724182128906,6.785055160522461
2020-02-13,312.4965515136719,78.92583465576172,75.39618682861328,6.741238594055176
2020-02-14,312.99725341796875,78.94526672363281,75.66221618652344,7.214505672454834
2020-02-18,312.1905517578125,77.4997329711914,75.69759368896484,7.383297443389893
2020-02-19,313.683349609375,78.62214660644531,75.96810913085938,7.834653854370117
2020-02-20,312.39459228515625,77.8155517578125,75.57553100585938,7.685282230377197
2020-02-21,309.1774597167969,76.05418395996094,73.90508270263672,7.3210577964782715
2020-02-24,298.92340087890625,72.44158935546875,70.736572265625,6.803478717803955
2020-02-25,289.865478515625,69.98782348632812,69.06562805175781,6.523900508880615
2020-02-26,288.7992858886719,71.09809875488281,69.27237701416016,6.663316249847412
2020-02-27,275.8288269042969,66.45054626464844,65.51001739501953,6.292397975921631
2020-02-28,274.6698913574219,66.41168212890625,66.72062683105469,6.7275848388671875
2020-03-02,286.5649108886719,72.59465026855469,69.06562805175781,6.88601541519165
2020-03-03,278.3598327636719,70.28909301757812,66.64441680908203,6.6234588623046875
2020-03-04,290.0602111816406,73.54942321777344,68.83049011230469,7.087292671203613
2020-03-05,280.4180603027344,71.16370391845703,65.50055694580078,6.807796955108643
2020-03-06,275.7825012207031,70.2186279296875,64.55299377441406,6.627194881439209
2020-03-09,254.24530029296875,64.6648941040039,60.56992721557617,6.114039421081543
2020-03-10,267.4012451171875,69.32215118408203,63.528202056884766,6.503638744354248
2020-03-11,254.36587524414062,66.91455841064453,60.32630920410156,6.13969612121582
2020-03-12,230.02883911132812,60.30643844604492,55.37675476074219,5.388394832611084
2020-03-13,249.69313049316406,67.53164672851562,60.494205474853516,5.999449729919434
2020-03-16,222.37078857421875,58.84390640258789,53.45621871948242,4.892427444458008
2020-03-17,234.3770751953125,61.43128967285156,55.701080322265625,5.412309646606445
2020-03-18,222.5098419189453,59.92744064331055,54.362430572509766,5.052351951599121
2020-03-19,222.98268127441406,59.46828079223633,55.38273620605469,5.3051934242248535
2020-03-20,213.37342834472656,55.692901611328125,53.21758270263672,5.125339508056641
2020-03-23,207.91786193847656,54.509765625,52.5161247253418,5.298218727111816
2020-03-24,226.7559051513672,59.97846603393555,56.296424865722656,6.2072038650512695
2020-03-25,230.1504669189453,59.64807891845703,54.882049560546875,6.118521690368652
2020-03-26,243.58892822265625,62.786922454833984,57.935977935791016,6.407983303070068
2020-03-27,236.3334503173828,60.18740463256836,55.3124885559082,6.2956366539001465
2020-03-30,244.0085906982422,61.90503692626953,57.10847473144531,6.615984916687012
2020-03-31,240.37152099609375,61.77869415283203,57.88765335083008,6.566412925720215
2020-04-01,229.55361938476562,58.52809143066406,54.90596008300781,6.0550007820129395
2020-04-02,234.8506622314453,59.50471496582031,55.64976501464844,6.3638916015625
2020-04-03,231.45606994628906,58.64955520629883,54.43765640258789,6.075924873352051
2020-04-06,247.00209045410156,63.76601028442383,58.94581985473633,6.685984134674072
2020-04-07,247.25392150878906,63.027435302734375,58.9144287109375,6.452572345733643
2020-04-08,255.5538787841797,64.64060974121094,60.132015228271484,6.649863243103027
2020-04-09,259.4427490234375,65.10704040527344,60.110591888427734,6.550220966339111
2020-04-13,257.0738830566406,66.38494873046875,60.301902770996094,6.722104549407959
2020-04-14,264.6557922363281,69.73759460449219,63.03300476074219,7.0733418464660645
