Date,AAPL,SPY,NVDA,AMZN
2020-01-31,74.93374633789062,298.2838134765625,5.885532855987549,100.43599700927734
2020-02-03,74.72795867919922,300.4995422363281,5.982616424560547,100.20999908447266
2020-02-04,77.19499969482422,305.07958984375,6.151890754699707,102.4834976196289
2020-02-05,77.82447814941406,308.6026306152344,6.242255210876465,101.99349975585938
2020-02-06,78.73478698730469,309.6410217285156,6.32913064956665,102.5114974975586
2020-02-07,77.66455078125,307.9907531738281,6.262916564941406,103.96399688720703
2020-02-10,78.03343200683594,310.2900390625,6.546202659606934,106.69550323486328
2020-02-11,77.56265258789062,310.82769775390625,6.668677806854248,107.54000091552734
2020-02-12,79.40458679199219,312.8302917480469,6.784430980682373,108.0
2020-02-13,78.8391342163086,312.4964904785156,6.7406182289123535,107.49349975585938
2020-02-14,78.85855865478516,312.9972229003906,7.213842391967773,106.74349975585938
2020-02-18,77.41460418701172,312.19061279296875,7.382616996765137,107.78350067138672
2020-02-19,78.5357894897461,313.68328857421875,7.833934783935547,108.51100158691406
2020-02-20,77.73009490966797,312.39447021484375,7.684574604034424,107.65499877929688
2020-02-21,75.97066497802734,309.1774597167969,7.3203840255737305,104.79850006103516
2020-02-24,72.36202239990234,298.9234924316406,6.802852630615234,100.4645004272461
2020-02-25,69.91098022460938,289.86541748046875,6.523299694061279,98.63700103759766
2020-02-26,71.02001190185547,288.7992858886719,6.662702560424805,98.97949981689453
2020-02-27,66.37755584716797,275.8288269042969,6.291818618774414,94.21499633789062
2020-02-28,66.33873748779297,274.6699523925781,6.726965427398682,94.1875
2020-03-02,72.51492309570312,286.56494140625,6.885382652282715,97.69750213623047
2020-03-03,70.2118911743164,278.35980224609375,6.622849464416504,95.44950103759766
2020-03-04,73.4686279296875,290.0601501464844,7.08664083480835,98.79149627685547
2020-03-05,71.08554077148438,280.41802978515625,6.807170391082764,96.20149993896484
2020-03-06,70.14151000976562,275.78240966796875,6.626584529876709,95.05449676513672
2020-03-09,64.59386444091797,254.24534606933594,6.113475799560547,90.03050231933594
2020-03-10,69.24603271484375,267.40118408203125,6.503042221069336,94.59100341796875
2020-03-11,66.84107971191406,254.3658905029297,6.139130592346191,91.04299926757812
2020-03-12,60.240211486816406,230.02883911132812,5.387899875640869,83.83049774169922
2020-03-13,67.4574966430664,249.6931915283203,5.998898983001709,89.25
2020-03-16,58.77928161621094,222.3707733154297,4.891976356506348,84.4574966430664
2020-03-17,61.363826751708984,234.3770751953125,5.41180944442749,90.39199829101562
2020-03-18,59.861637115478516,222.5098419189453,5.051886558532715,91.5
2020-03-19,59.40297317504883,222.98269653320312,5.30470609664917,94.04650115966797
2020-03-20,55.631736755371094,213.37342834472656,5.124867916107178,92.30449676513672
2020-03-23,54.44989776611328,207.9178466796875,5.297731399536133,95.1415023803711
2020-03-24,59.912601470947266,226.75592041015625,6.206633567810059,97.00499725341797
2020-03-25,59.582550048828125,230.15045166015625,6.117959976196289,94.29199981689453
2020-03-26,62.71796417236328,243.5889129638672,6.407393932342529,97.77449798583984
2020-03-27,60.12130355834961,236.33346557617188,6.29505729675293,95.00499725341797
2020-03-30,61.837039947509766,244.00852966308594,6.615375518798828,98.19750213623047
2020-03-31,61.71086120605469,240.3715057373047,6.565809726715088,97.48600006103516
2020-04-01,58.463802337646484,229.5536346435547,6.054443359375,95.38500213623047
2020-04-02,59.43938064575195,234.8506622314453,6.363306045532227,95.94149780273438
2020-04-03,58.58515167236328,231.4561004638672,6.075367450714111,95.32949829101562
2020-04-06,63.69596862792969,247.00210571289062,6.685368537902832,99.87950134277344
2020-04-07,62.958221435546875,247.25387573242188,6.4519782066345215,100.58000183105469
2020-04-08,64.56961059570312,255.55386352539062,6.649251937866211,102.1500015258789
2020-04-09,65.03555297851562,259.4427490234375,6.549619197845459,102.13800048828125
2020-04-13,66.31205749511719,257.073974609375,6.721487045288086,108.44349670410156
2020-04-14,69.66101837158203,264.65582275390625,7.07269287109375,114.16600036621094
2020-04-15,69.02519226074219,259.0323486328125,6.9952263832092285,115.38400268554688
2020-04-16,69.57366180419922,260.2820129394531,7.340455532073975,120.40950012207031
2020-04-17,68.6296157836914,267.3136901855469,7.2811737060546875,118.75
2020-04-20,67.20510864257812,262.6041259765625,7.149908065795898,119.68049621582031
2020-04-21,65.12776947021484,254.63058471679688,6.713017463684082,116.40599822998047
2020-04-22,67.00366973876953,260.2820129394531,7.1274895668029785,118.17449951171875
2020-04-23,66.74401092529297,260.26336669921875,7.074185848236084,119.97250366210938
2020-04-24,68.6708755493164,263.89105224609375,7.213173866271973,120.51100158691406
2020-04-27,68.71942901611328,267.69598388671875,7.399738311767578,118.80000305175781
2020-04-28,67.60552215576172,266.4649963378906,7.257262706756592,115.7040023803711
2020-04-29,69.82601928710938,273.4407043457031,7.434110641479492,118.635498046875
2020-04-30,71.29907989501953,270.8947448730469,7.280178546905518,123.69999694824219
2020-05-01,70.1512451171875,263.7232360839844,7.043548583984375,114.302001953125
2020-05-04,71.14379119873047,264.4506530761719,7.255517482757568,115.79949951171875
2020-05-05,72.21156311035156,266.8940124511719,7.316542625427246,115.88999938964844
2020-05-06,72.95658111572266,265.0848388671875,7.417420864105225,117.56300354003906
2020-05-07,73.71133422851562,268.28350830078125,7.593772888183594,118.38050079345703
2020-05-08,75.46576690673828,272.72259521484375,7.783822059631348,118.98049926757812
2020-05-11,76.65325164794922,272.7785339355469,8.035893440246582,120.44999694824219
2020-05-12,75.77725219726562,267.3416442871094,7.773859024047852,117.84750366210938
